_key,time,nb_places_libres,nb_parking_libres,nsv_id
38185-P-001,1691484305008,496.0,496.0,1
38185-P-002,1691484305008,364.0,364.0,1
38185-P-003,1691484305008,349.0,349.0,1
38185-P-004,1691484305008,180.0,180.0,1
38185-P-005,1691484305008,484.0,484.0,1
38185-P-006,1691484305008,308.0,308.0,1
38185-P-007,1691484305008,81.0,81.0,1
38185-P-008,1691484305008,78.0,78.0,1
38185-P-009,1691484305008,283.0,283.0,1
38185-P-010,1691484305008,290.0,290.0,1
38185-P-012,1691484305008,153.0,153.0,1
38185-P-013,1691484305008,169.0,169.0,1
38185-P-014,1691484305008,247.0,247.0,1
38185-P-015,1691484305008,34.0,34.0,1
38185-P-016,1691484305008,66.0,66.0,1
38006-P-001,1691484305008,,,0
38039-P-001,1691484305008,,,0
38059-P-001,1691484305008,,,0
38133-P-001,1691484305008,,,0
38140-P-001,1691484305008,,,0
38150-P-001,1691484305008,,,0
38151-P-001,1691484305008,,,0
38158-P-001,1691484305008,,,0
38170-P-001,1691484305008,,,0
38179-P-001,1691484305008,,,0
38181-P-001,1691484305008,,,0
38185-P-011,1691484305008,,,0
38185-P-017,1691484305008,,,0
38214-P-001,1691484305008,,,0
38229-P-001,1691484305008,,,0
38249-P-001,1691484305008,,,0
38314-P-001,1691484305008,,,0
38317-P-001,1691484305008,,,0
38317-P-002,1691484305008,,,0
38317-P-003,1691484305008,,,0
38337-P-001,1691484305008,,,0
38382-P-001,1691484305008,,,0
38382-P-002,1691484305008,,,0
38382-P-003,1691484305008,,,0
38422-P-001,1691484305008,,,0
38431-P-001,1691484305008,,,0
38474-P-001,1691484305008,,,0
38474-P-002,1691484305008,,,0
38485-P-001,1691484305008,,,0
38486-P-001,1691484305008,,,0
38504-P-001,1691484305008,,,0
38516-P-001,1691484305008,,,0
38545-P-001,1691484305008,,,0
38545-P-002,1691484305008,,,0
38200-P-001,1691484305008,,,0
38388-P-001,1691484305008,,,0
38547-P-001,1691484305008,,,0
38547-P-002,1691484305008,,,0
38524-P-001,1691484305008,,,0
38562-P-001,1691484305008,,,0
38511-P-001,1691484305008,,,0
38337-P-002,1691484305008,,,0
38331-P-001,1691484305008,,,0
38084-P-001,1691484305008,,,0
38563-P-001,1691484305008,,,0
38563-P-002,1691484305008,,,0
38563-P-003,1691484305008,,,0
38133-P-002,1691484305008,,,0
38061-P-001,1691484305008,,,0
38239-P-001,1691484305008,,,0
38565-P-001,1691484305008,,,0
38517-P-001,1691484305008,,,0
38397-P-001,1691484305008,,,0
